Course ID,Discipline,Key,Course Name,Institute,Duration,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,Click here to Join the course, , , , 
noc26-ge105,"Any Engineering, Science and Management Disciplines",CS,Artificial Intelligence in Industrial and Management Engineering,IIT Kanpur,8 Weeks,"Aug 17, 2026","Oct 9, 2026","Oct 23, 2026","Aug 17, 2026","Aug 28, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_ge105,,,,
noc26-ge81,"Any Engineering, Science and Management Disciplines",CS,Carbon Accounting and Sustainable Designs in Product Lifecycle Management,IIT Kanpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_ge81,,,,
noc26-cs94,Computer Science,CS,Intermediary Algorithm,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs94,,,,
noc26-cs95,Computer Science,CS,Fundamentals of Generative AI and Large Language Models: Theory and Practice,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs95,,,,
noc26-cs94,Computer Science,CS,Human Resource Development,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs94,,,,
noc26-cs95,Computer Science,CS,Introduction to Market Structures,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs95,,,,
noc26-cs103,Computer Science and Engineering,CS,Foundations of Immersive Design for AR/VR,IIT Kanpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs103,,,,
noc26-cs104,Computer Science and Engineering,CS,Generative AI for Computer Vision,IIT Guwahati,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs104,,,,
noc26-cs100,Computer Science and Engineering,CS,Privacy Enabling Techniques (PETS),IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs100,,,,
noc26-cs101,Computer Science and Engineering,CS,Theory and Practice of Modern Cryptography,IIT Kharagpur,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs101,,,,
noc26-cs102,Computer Science and Engineering,CS,Foundations of Machine Learning,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs102,,,,
noc26-cs105,Computer Science and Engineering,CS,Demystifying Networking,IIT Bombay,4 Weeks,"Jul 20, 2026","Aug 14, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs105,,,,
noc26-cs106,Computer Science and Engineering,CS,C Programming and Assembly Language,IIT Madras,4 Weeks,"Jul 20, 2026","Aug 14, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs106,,,,
noc26-cs113,Computer Science and Engineering,CS,Introduction to programming in C,IIT Kanpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs113,,,,
noc26-cs114,Computer Science and Engineering,CS,Theory of Computation,IIT Kanpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs114,,,,
noc26-cs115,Computer Science and Engineering,CS,Distributed Systems,IIT Kanpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs115,,,,
noc26-cs107,Computer Science and Engineering,CS,Python for Data Science,IIT Madras,4 Weeks,"Jul 20, 2026","Aug 14, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs107,,,,
noc26-cs108,Computer Science and Engineering,CS,Introduction to Graph Algorithms,IISc Bangalore,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs108,,,,
noc26-cs109,Computer Science and Engineering,CS,"Programming, Data Structures And Algorithms Using Python",IIT Madras,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs109,,,,
noc26-cs110,Computer Science and Engineering,CS,Design and analysis of algorithms,IIT Madras,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs110,,,,
